id,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,x_27,x_28,x_29,x_30,x_31,x_32,x_33,x_34,x_35,x_36,x_37,x_38,x_39,x_40,x_41,x_42,x_43,x_44,x_45,x_46,x_47,x_48,x_49,x_50,x_51,x_52,x_53,x_54,x_55,x_56,x_57,x_58,x_59,x_60,x_61,x_62,x_63,x_64,x_65,x_66,x_67,x_68,x_69,x_70,x_71,x_72,x_73,x_74,x_75,x_76,x_77,x_78,x_79,x_80,x_81,x_82,x_83,x_84,x_85,x_86,x_87,x_88,x_89,x_90,x_91,x_92,x_93,x_94,x_95,x_96,x_97,x_98,x_99,x_100,x_101,x_102,x_103,x_104,x_105,x_106,x_107,x_108,x_109,x_110,x_111,x_112,x_113,x_114,x_115,x_116,x_117,x_118,x_119,x_120,x_121,x_122,x_123,x_124,x_125,x_126,x_127
ACTN2,0.07227124,0.2065278,0.07956155,0.13113698,0.053548455,-0.10512854,-0.2276299,0.12810783,-0.13674878,0.20517212,0.21280734,0.07222493,-0.2042524,0.2517256,0.12232527,0.03875906,-0.08867066,-0.18026328,-0.26972502,0.0011668764,0.0567844,-0.08160709,-0.1352778,-0.21376346,0.11210264,0.015849687,-0.0025463924,-0.21333282,-0.22658002,0.16882609,0.11156797,0.23444812,-0.055579465,-0.030565288,0.12227888,0.12033037,0.12552962,0.11343753,-0.052449048,0.1723263,-0.056329675,-0.16176157,-0.13141783,-0.22662203,-0.04137391,-0.1854208,-0.033351466,-0.070707925,-0.08893069,-0.2870227,0.20796679,0.16277397,-0.24444517,0.18335995,-0.19179174,-0.17082798,0.016110327,-0.011235893,-0.24233471,0.16931508,-0.0006699839,-0.14660652,-0.103472926,0.24301094,0.15209071,-0.092569925,-0.04549308,0.12647846,-0.1677915,-0.086492755,-0.25370118,0.2125702,-0.10782285,-0.13129409,-0.22718194,0.12555377,-0.056427915,-0.1661824,0.059881143,0.04164658,0.24271868,-0.19730267,-0.029936599,-0.13038072,0.10305372,0.085288145,-0.13741648,0.1761083,-0.026823796,0.19133024,-0.122388855,0.15989484,-0.05675303,-0.2197002,-0.0048329034,-0.14556375,-0.061669163,0.055325642,0.14278954,-0.106828004,-0.18630515,-0.14015627,0.13894828,0.21027423,0.039366767,0.025203418,0.251579,-0.07035851,-0.16775946,-0.043485347,0.119087726,0.047675196,-0.13587956,0.15844214,0.14023806,0.17827466,-0.2606203,-0.08738896,-0.01800687,0.08481282,-0.07919182,-0.12941633,0.08472404,-0.23255187,0.14439902,0.051885314,-0.1654568,0.12014309
ACVR1,0.06832553,0.2034981,0.07570917,0.13200815,0.057211667,-0.107263975,-0.21475954,0.12650058,-0.1320742,0.19477648,0.20476143,0.06653457,-0.1896133,0.24740525,0.1178582,0.039972402,-0.07886355,-0.16700804,-0.2638598,-0.00451717,0.0544247,-0.07662402,-0.13391966,-0.20673491,0.10206766,0.013214519,0.0014773845,-0.20331113,-0.21605825,0.16113867,0.11195057,0.22660315,-0.05618156,-0.033772655,0.115722075,0.11323039,0.12530573,0.11352784,-0.05295555,0.16722101,-0.052965485,-0.15688203,-0.12748647,-0.21822406,-0.039755486,-0.17962383,-0.036874883,-0.06607954,-0.08669382,-0.27990338,0.20246893,0.16004594,-0.2418545,0.1758717,-0.18827395,-0.16314654,0.014989569,-0.0069547305,-0.2361048,0.16371545,0.0005470436,-0.13919745,-0.1015341,0.23633912,0.14934279,-0.08965745,-0.046107523,0.12303221,-0.15990709,-0.0846383,-0.24587946,0.20455912,-0.09878933,-0.12478544,-0.22127736,0.12121187,-0.053457852,-0.16667616,0.0574248,0.044835016,0.23601012,-0.18964599,-0.030634424,-0.12671076,0.09755098,0.08475958,-0.13382332,0.16984674,-0.0228836,0.18701375,-0.11925647,0.14948456,-0.053261966,-0.20870498,-0.0036681094,-0.1379541,-0.061403118,0.054752834,0.13802798,-0.10053142,-0.17753226,-0.13351947,0.13451566,0.2058283,0.03743045,0.025286064,0.24516201,-0.067049995,-0.16650105,-0.044859912,0.112699576,0.047064785,-0.13403411,0.15019941,0.13364328,0.17812866,-0.25159624,-0.08985463,-0.016587868,0.08290277,-0.07770659,-0.12299177,0.077150464,-0.22581106,0.14388196,0.054048017,-0.15692534,0.11453728
ALDOA,0.06707774,0.20568642,0.07645018,0.13379946,0.059831347,-0.1096544,-0.21326493,0.12848988,-0.13135366,0.19167988,0.2019071,0.06497024,-0.18486464,0.2452963,0.116921306,0.039876442,-0.075086854,-0.16342221,-0.26544106,-0.00649269,0.054497715,-0.07488465,-0.13601848,-0.20655383,0.09923399,0.01106142,0.0017698376,-0.2015157,-0.21421278,0.15992899,0.11344325,0.22431935,-0.059465654,-0.037281707,0.114932746,0.10779988,0.12801881,0.11681016,-0.05550976,0.16576986,-0.052589525,-0.15590075,-0.12362775,-0.2182382,-0.037131403,-0.17925733,-0.04244082,-0.06414198,-0.08525346,-0.281488,0.2014323,0.16297543,-0.24440429,0.1732181,-0.18967709,-0.15918703,0.013946818,-0.0026780174,-0.23428631,0.16055337,0.00066413754,-0.13433151,-0.10051607,0.23434165,0.15066665,-0.09005782,-0.04874308,0.1241689,-0.15653512,-0.084333725,-0.24750172,0.20372553,-0.09281472,-0.12110529,-0.22311485,0.12126502,-0.052148774,-0.17044303,0.057422116,0.04866796,0.23860878,-0.18833058,-0.0333171,-0.1285968,0.09548277,0.08805864,-0.13532104,0.17093733,-0.020585112,0.19096708,-0.12279135,0.14287633,-0.049923573,-0.20824265,-0.005475983,-0.1335869,-0.06343937,0.05507266,0.1395964,-0.099839404,-0.17756817,-0.13252121,0.13652177,0.20768496,0.03760751,0.024960846,0.24659194,-0.06629382,-0.1679597,-0.046716772,0.11103453,0.04781071,-0.1342398,0.14883786,0.13279171,0.18173046,-0.25120693,-0.08890916,-0.017346103,0.083441235,-0.0787941,-0.12267769,0.07640397,-0.22494514,0.14416684,0.054826915,-0.15576343,0.11588734
APP,0.070751615,0.20180362,0.07074759,0.12998734,0.05273797,-0.11195704,-0.22461842,0.124335475,-0.13531971,0.19819546,0.20951407,0.06644241,-0.1984093,0.25083175,0.12066366,0.036646876,-0.08527906,-0.17268278,-0.26867476,0.00018192056,0.055144183,-0.07530171,-0.13713732,-0.21273856,0.10576239,0.015358652,-6.600055e-05,-0.20606567,-0.2200174,0.17103861,0.11472156,0.22795103,-0.06611427,-0.03507639,0.12570657,0.115429126,0.12621932,0.11304634,-0.05646601,0.16964115,-0.057958186,-0.15717345,-0.11767099,-0.22968276,-0.03077186,-0.18646055,-0.04078447,-0.067161605,-0.07711134,-0.28627446,0.19417715,0.16625176,-0.24241857,0.17565191,-0.18792085,-0.16957499,0.0025076151,-0.0060372744,-0.24037907,0.15978025,-0.007304947,-0.14079346,-0.102830656,0.23926087,0.15003933,-0.090051286,-0.046574686,0.12871148,-0.16427583,-0.082363,-0.24876556,0.20783052,-0.09926494,-0.13208218,-0.224482,0.11747449,-0.047312744,-0.16653502,0.060178198,0.041910727,0.24441612,-0.19751991,-0.04295707,-0.12254252,0.08811594,0.08505189,-0.13225351,0.16958828,-0.029000925,0.1846496,-0.120631,0.14138004,-0.049996052,-0.21523188,-0.011266341,-0.12488398,-0.0683603,0.059714675,0.12799081,-0.1031385,-0.17156737,-0.12905411,0.13972773,0.19780716,0.042167008,0.017299604,0.25455377,-0.05781315,-0.16948172,-0.034964595,0.11141935,0.050721385,-0.13528414,0.14415751,0.1390882,0.18397103,-0.2568058,-0.09533768,-0.010117918,0.077651076,-0.07702041,-0.121966206,0.0728864,-0.23281676,0.14588708,0.05661769,-0.15952732,0.108098686
APPBP2,0.06627701,0.21065468,0.076465406,0.13771994,0.064750075,-0.11316085,-0.2115018,0.13245265,-0.13070507,0.19003999,0.20059806,0.063899785,-0.1804784,0.2497623,0.116937906,0.04320413,-0.07061186,-0.16042323,-0.27193218,-0.0118529685,0.05671937,-0.07400297,-0.1430706,-0.21213841,0.0941754,0.00949414,0.0048660347,-0.20210278,-0.21539564,0.16154458,0.11965457,0.22929765,-0.057494618,-0.04096827,0.11088981,0.10420763,0.13008979,0.11989345,-0.05491305,0.1656904,-0.04983217,-0.15685639,-0.127254,-0.21608122,-0.03958293,-0.17823899,-0.045368213,-0.06475969,-0.08822176,-0.28343272,0.20575595,0.1641842,-0.24738169,0.17379488,-0.19201857,-0.15656364,0.017880972,0.0004136879,-0.23458765,0.16198787,0.0024056141,-0.13145328,-0.1011701,0.23445633,0.15282445,-0.091733985,-0.05079373,0.122676246,-0.1558195,-0.08771452,-0.25175554,0.20593312,-0.09293324,-0.11987841,-0.22608948,0.12526588,-0.055506457,-0.17545453,0.0571385,0.053272605,0.23914641,-0.18643221,-0.029151697,-0.13481337,0.102546684,0.09017265,-0.13953424,0.17439096,-0.01610046,0.19679312,-0.12412902,0.15013513,-0.05282244,-0.20936356,-0.0011138911,-0.14470541,-0.05754093,0.051405113,0.14904112,-0.10072157,-0.18502848,-0.13627867,0.13234131,0.21404831,0.033527058,0.030823445,0.24137047,-0.07301675,-0.16628675,-0.054242477,0.11390819,0.04500596,-0.1336518,0.15533374,0.12932129,0.1752211,-0.24704403,-0.08224149,-0.023370488,0.08648745,-0.07972295,-0.12513351,0.0816224,-0.21962753,0.14174034,0.052034102,-0.15485173,0.12213121
ARF1,0.070657946,0.19809307,0.0794611,0.12480573,0.05166512,-0.0958659,-0.21594411,0.122825995,-0.13037205,0.19797134,0.20315841,0.07184621,-0.19600384,0.23919825,0.116445236,0.03711775,-0.08454837,-0.17394553,-0.2560582,0.002299467,0.05408012,-0.080504574,-0.12696762,-0.20165263,0.10964824,0.015866227,-0.0019797813,-0.20586565,-0.21806046,0.15863974,0.10572898,0.22577056,-0.04794792,-0.027310591,0.11373649,0.11559167,0.11754525,0.10677346,-0.048119083,0.1638145,-0.05256779,-0.15299532,-0.12989472,-0.21101697,-0.043713797,-0.17403316,-0.028589407,-0.06781855,-0.088761084,-0.2685086,0.20063522,0.15162669,-0.2309207,0.17574653,-0.18364885,-0.16183402,0.020300632,-0.01232883,-0.23010392,0.16385159,0.0021794713,-0.14124842,-0.09771544,0.23118757,0.14335239,-0.0877394,-0.04202686,0.11792924,-0.1592119,-0.08363755,-0.23918441,0.20192395,-0.107038856,-0.1243534,-0.2150346,0.12136581,-0.057344984,-0.15593152,0.056117434,0.039432902,0.22790587,-0.1864561,-0.022017611,-0.12520936,0.102002166,0.08022463,-0.13200314,0.16721506,-0.024923733,0.18171097,-0.116073735,0.15773024,-0.056084633,-0.20699844,-0.0012982553,-0.14407729,-0.055540703,0.05022275,0.13875555,-0.10147881,-0.17772838,-0.13359922,0.12937298,0.20081699,0.035813317,0.02656297,0.23574042,-0.07082506,-0.15723613,-0.043311346,0.11326237,0.043999135,-0.12810464,0.15209234,0.13199008,0.16631554,-0.24581252,-0.08094877,-0.018632114,0.08272816,-0.07549073,-0.12298872,0.081359096,-0.21776122,0.1353923,0.04731305,-0.15567435,0.11638322
ARF3,0.035400216,0.017841564,0.25692254,-0.0896391,-1.7004437e-05,0.33012724,0.060000353,0.027459446,0.04565047,0.12951322,-0.020104636,0.17768551,-0.06963992,-0.10157979,-0.030186113,0.037218038,-0.047152624,-0.1567203,0.15053645,0.05569194,0.0031097126,-0.19024168,0.17481111,0.13010949,0.17988487,0.016699724,-0.06941437,-0.12465979,-0.0791199,-0.17749827,-0.15094246,0.07281904,0.34488094,0.1576371,-0.18329987,0.077651724,-0.12234985,-0.0609147,0.15002729,-0.022917489,0.08257436,-0.015210297,-0.30943477,0.24549682,-0.2972979,0.15588383,0.23030148,-0.06471634,-0.2681154,0.19805025,0.2437575,-0.18999831,0.111018404,0.08071962,-0.0171053,0.06559291,0.36973858,-0.13385569,0.08879933,0.1556413,0.19846778,-0.08219436,0.04030729,-0.031574503,-0.064945206,-0.0018325618,0.092698365,-0.1690872,0.021934513,-0.053983804,0.08365683,-0.016871188,-0.222039,0.085598305,0.09295961,0.13592727,-0.23382357,0.15441222,-0.07307203,-0.049887832,-0.22732227,0.13287146,0.4221569,-0.13267589,0.34230927,-0.06916015,-0.069871284,0.051272664,0.07554769,0.055993572,0.029230531,0.42250454,-0.1778594,0.051778674,0.19442835,-0.5091543,0.20329778,-0.15592678,0.28178644,-0.00506767,-0.22272304,-0.15888745,-0.11735573,0.17661552,-0.11677898,0.19387445,-0.23803131,-0.26580772,0.13157965,-0.21006784,0.0814061,-0.09672063,0.06242181,0.21517867,-0.07995483,-0.242627,0.10784386,0.24428166,-0.18064347,0.13496277,-0.010978248,-0.0646045,0.17984882,0.20039172,-0.11812724,-0.13797073,0.0011017928,0.2164551
ARFIP1,0.11839482,-0.13117623,0.18291597,-0.21153173,-0.21193352,0.39705148,-0.15825069,-0.09896351,-0.016530469,0.26422393,0.11116593,0.2254268,-0.37435076,-0.13977675,0.015177511,-0.0630531,-0.28106183,-0.35841262,0.20838979,0.2510475,-0.010477923,-0.1980874,0.23998606,0.11064709,0.3513591,0.11978781,-0.14763819,-0.1854395,-0.15379542,-0.031195255,-0.23293273,0.06636647,0.2726519,0.25699607,0.014822559,0.26114362,-0.18664354,-0.18422164,0.15496387,0.023933277,-0.014093672,-0.031585097,-0.22104543,0.08454815,-0.19883564,0.053835884,0.33273736,-0.11692842,-0.1882851,0.16869077,0.1543302,-0.19390859,0.21836576,0.15202856,0.044292774,-0.13326365,0.21010748,-0.280616,0.03536212,0.15887141,0.08031176,-0.23317441,0.041168373,0.024876297,-0.105934516,-0.0056813667,0.14410321,-0.09708391,-0.117287904,0.0005697771,0.08943472,0.043911275,-0.37686023,-0.11328956,0.108821705,0.05662515,-0.16169171,0.29138702,-0.020118596,-0.22011368,-0.1365272,-0.036413115,0.25331667,0.0071181916,0.21011168,-0.16010201,0.034997143,0.021838618,-0.11317042,-0.10432248,0.091563344,0.3887935,-0.16993262,-0.07951342,0.085787125,-0.30835506,0.11521903,-0.06872154,0.09421391,-0.102033615,-0.15496893,-0.15291938,-0.041787628,-0.0033394461,-0.010815481,0.05800222,-0.08270922,-0.16095722,0.12563083,0.027611546,0.14301291,-0.049073197,0.041704994,0.20412272,0.09427166,-0.21872652,-0.058340915,0.14563128,-0.04178166,0.0384748,0.016409373,-0.0970724,0.17033988,-0.015349249,-0.08915308,-0.12923941,-0.12574226,0.09755937
ARFIP2,0.10965577,-0.10396806,0.21079908,-0.19547345,-0.17766507,0.4030839,-0.12708743,-0.07401298,-0.0072284862,0.25786746,0.09637779,0.23254234,-0.339451,-0.13532412,0.009069339,-0.04567744,-0.25191605,-0.34461161,0.20338096,0.22696272,-0.006820722,-0.2167615,0.24450772,0.12067293,0.34877375,0.10857421,-0.1441736,-0.19377732,-0.15743788,-0.060008377,-0.23326355,0.07957421,0.30435365,0.25242093,-0.021901522,0.24396265,-0.1896681,-0.17432468,0.16954438,0.021752676,0.0036130256,-0.037321445,-0.26723614,0.120307244,-0.2420181,0.0752948,0.3462434,-0.12157694,-0.22040525,0.17668799,0.18968219,-0.2020974,0.20506802,0.15468055,0.029405763,-0.10863636,0.25766242,-0.27165723,0.040589806,0.17584872,0.10971921,-0.22406442,0.04069056,0.023734495,-0.09786221,-0.007547561,0.13931021,-0.10989322,-0.10314667,-0.011801211,0.08484049,0.040942352,-0.3705353,-0.08470717,0.10361099,0.07902694,-0.1849923,0.27426016,-0.028731082,-0.19727187,-0.15349244,-0.012341166,0.29752076,-0.02291055,0.25426364,-0.14950578,0.011582124,0.035009883,-0.083091676,-0.0723155,0.08080872,0.42814523,-0.18453766,-0.06588869,0.11294736,-0.37494272,0.13062593,-0.08451651,0.13412347,-0.09036307,-0.17878555,-0.16305457,-0.05300342,0.03705697,-0.0295067,0.084496126,-0.10517924,-0.18516244,0.12529477,-0.016068403,0.13889138,-0.05666857,0.041946746,0.21656701,0.06934215,-0.22350322,-0.03782055,0.16644086,-0.070173256,0.060247146,0.009470478,-0.0992143,0.18186975,0.016931497,-0.09392421,-0.13461526,-0.11234264,0.12662373
FLNC,0.07081507,0.20602526,0.08768353,0.12869048,0.05702884,-0.092625275,-0.21522833,0.12907763,-0.13109094,0.20247301,0.20406027,0.07663534,-0.19575433,0.24321623,0.11734887,0.041383844,-0.082961455,-0.17762066,-0.2603572,-0.0018844614,0.05594995,-0.087090045,-0.12775251,-0.2024931,0.1119121,0.01425481,-0.0023091175,-0.21210153,-0.22299863,0.1552531,0.10566305,0.23266016,-0.040190373,-0.026158227,0.10845394,0.11627945,0.11928618,0.111395665,-0.045613725,0.16718185,-0.04960745,-0.15757202,-0.1415407,-0.20787354,-0.053522762,-0.17257705,-0.027441941,-0.07060736,-0.10028898,-0.26974794,0.21527041,0.15062775,-0.2356906,0.18166086,-0.18907486,-0.16081885,0.034030117,-0.014146132,-0.23205355,0.17103961,0.0093475105,-0.14433874,-0.09836041,0.23531947,0.14643167,-0.09134757,-0.042194016,0.11532703,-0.16041124,-0.08723836,-0.24435066,0.20546463,-0.11124846,-0.121909544,-0.21793443,0.12890975,-0.0648817,-0.15972881,0.05382013,0.042379204,0.22684361,-0.18504049,-0.010320342,-0.13463552,0.11664062,0.080718815,-0.13794814,0.1739561,-0.019330839,0.19124895,-0.11935349,0.17223202,-0.061924182,-0.20946932,0.0052508726,-0.1639792,-0.049748078,0.046634555,0.15526025,-0.103167064,-0.19279025,-0.14348646,0.12860143,0.21510893,0.03174018,0.035410207,0.232781,-0.082182765,-0.15884216,-0.055061717,0.11905174,0.041087832,-0.12982582,0.1646681,0.13093844,0.16412245,-0.24784768,-0.074835,-0.02689369,0.08977258,-0.07761241,-0.12760007,0.08903309,-0.21534689,0.13592683,0.044944055,-0.15936702,0.12712753
